time_limit;default;radius;in_range;osm_id;random
0.0;0;0;0;0;0
1720.2515962030127;0;0;0;0;0
3440.5031924060254;0;1;0;0;0
5160.754788609038;0;2;0;0;0
6881.006384812051;0;3;0;0;0
8601.257981015064;0;3;0;0;1
10321.509577218076;0;3;0;1;1
12041.76117342109;0;4;0;1;1
13762.012769624102;1;4;0;1;1
15482.264365827114;2;4;0;1;1
17202.515962030127;2;4;0;2;1
18922.76755823314;2;4;0;3;1
20643.01915443615;3;4;0;3;1
22363.270750639163;3;4;0;4;1
24083.52234684218;4;4;0;4;1
25803.77394304519;5;4;0;4;1
27524.025539248203;5;5;0;4;1
29244.277135451215;5;5;0;4;2
30964.528731654227;5;5;0;4;3
32684.780327857243;5;5;0;4;4
34405.031924060255;5;5;0;4;5
36125.28352026326;5;5;0;4;6
37845.53511646628;5;5;0;4;7
39565.786712669295;5;5;0;4;8
41286.0383088723;5;5;0;4;9
43006.28990507532;5;5;0;4;10
44726.54150127833;5;5;0;4;11
46446.79309748134;5;6;0;4;11
48167.04469368436;5;7;0;4;11
49887.29628988737;5;8;0;4;11
51607.54788609038;5;9;0;4;11
53327.79948229339;5;10;0;4;11
55048.051078496406;5;11;0;4;11
56768.30267469942;5;12;0;4;11
58488.55427090243;5;12;0;5;11
60208.805867105446;5;12;0;6;11
61929.057463308454;5;13;0;6;11
63649.30905951147;5;14;0;6;11
65369.560655714486;5;15;0;6;11
67089.8122519175;5;15;0;6;12
68810.06384812051;5;15;0;6;13
70530.31544432353;5;15;0;6;14
72250.56704052653;5;15;0;6;15
73970.81863672954;5;15;0;6;16
75691.07023293256;5;15;0;6;17
77411.32182913557;5;15;0;6;18
79131.57342533859;5;15;0;6;19
80851.82502154159;5;15;0;6;20
82572.0766177446;5;15;0;6;21
84292.32821394762;5;15;0;6;22
86012.57981015064;5;15;0;6;23
87732.83140635365;6;15;0;6;23
89453.08300255665;6;15;0;7;23
91173.33459875967;6;15;0;8;23
92893.58619496269;6;15;0;9;23
94613.8377911657;6;15;0;10;23
96334.08938736872;6;15;0;11;23
98054.34098357172;6;15;0;12;23
99774.59257977473;6;15;0;13;23
101494.84417597775;6;15;0;14;23
103215.09577218076;7;15;0;14;23
104935.34736838378;8;15;0;14;23
106655.59896458678;9;15;0;14;23
108375.8505607898;10;15;0;14;23
110096.10215699281;11;15;0;14;23
111816.35375319583;12;15;0;14;23
113536.60534939884;13;15;0;14;23
115256.85694560184;14;15;0;14;23
116977.10854180486;15;15;0;14;23
118697.36013800788;16;15;0;14;23
120417.61173421089;17;15;0;14;23
122137.86333041391;18;15;0;14;23
123858.11492661691;19;15;0;14;23
125578.36652281992;20;15;0;14;23
127298.61811902294;21;15;0;14;23
129018.86971522596;22;15;0;14;23
130739.12131142897;23;15;0;14;23
132459.37290763197;24;15;0;14;23
134179.624503835;25;15;0;14;23
135899.876100038;26;15;0;14;23
137620.12769624102;26;16;0;14;23
139340.37929244403;26;17;0;14;23
141060.63088864705;26;18;0;14;23
142780.88248485007;26;19;0;14;23
144501.13408105305;26;20;0;14;23
146221.38567725607;26;21;0;14;23
147941.63727345908;26;22;0;14;23
149661.8888696621;26;23;0;14;23
151382.14046586512;26;24;0;14;23
153102.39206206813;26;25;0;14;23
154822.64365827115;26;26;0;14;23
156542.89525447416;26;27;0;14;23
158263.14685067718;26;28;0;14;23
159983.3984468802;26;29;0;14;23
161703.65004308318;26;30;0;14;23
163423.9016392862;26;31;0;14;23
165144.1532354892;26;32;0;14;23
166864.40483169223;26;33;0;14;23
168584.65642789524;26;34;0;14;23
170304.90802409826;26;35;0;14;23
172025.15962030127;26;36;0;14;23
173745.4112165043;26;37;0;14;23
175465.6628127073;26;38;0;14;23
177185.91440891032;26;39;0;14;23
178906.1660051133;26;40;0;14;23
180626.41760131632;26;41;0;14;23
182346.66919751934;26;42;0;14;23
184066.92079372235;26;43;0;14;23
185787.17238992537;26;44;0;14;23
187507.4239861284;26;45;0;14;23
189227.6755823314;26;46;0;14;23
190947.92717853442;26;47;0;14;23
192668.17877473743;26;48;0;14;23
194388.43037094045;26;49;0;14;23
196108.68196714344;26;50;0;14;23
197828.93356334645;26;51;0;14;23
199549.18515954947;26;52;0;14;23
201269.43675575248;26;53;0;14;23
202989.6883519555;26;54;0;14;23
204709.9399481585;26;55;0;14;23
206430.19154436153;26;56;0;14;23
208150.44314056454;26;57;0;14;23
209870.69473676756;26;58;0;14;23
211590.94633297058;26;59;0;14;23
213311.19792917356;26;60;0;14;23
215031.44952537658;26;61;0;14;23
216751.7011215796;26;62;0;14;23
218471.9527177826;27;62;1;14;24
220192.20431398563;28;62;2;14;25
221912.45591018864;29;62;3;14;26
223632.70750639166;30;62;4;14;27
225352.95910259467;31;62;5;14;28
227073.2106987977;32;62;6;14;29
228793.46229500067;33;62;7;14;30
230513.7138912037;34;62;8;14;31
232233.9654874067;35;62;9;14;32
233954.21708360972;36;62;10;14;33
235674.46867981274;37;62;11;14;34
237394.72027601575;38;62;12;14;35
239114.97187221877;39;62;13;14;36
240835.22346842178;40;62;14;14;37
242555.4750646248;41;62;15;14;38
244275.72666082782;42;62;16;14;39
245995.9782570308;43;62;17;14;40
247716.22985323382;44;62;18;14;41
249436.48144943683;45;62;19;14;42
251156.73304563985;46;62;20;14;43
252876.98464184286;47;62;21;14;44
254597.23623804588;48;62;22;14;45
256317.4878342489;49;62;23;14;46
258037.7394304519;50;62;24;14;47
259757.99102665493;51;62;25;14;48
261478.24262285794;52;62;26;14;49
263198.4942190609;53;62;27;14;50
264918.74581526394;54;62;28;14;51
266638.99741146696;55;62;29;14;52
268359.24900767;56;62;30;14;53
270079.500603873;57;62;31;14;54
271799.752200076;58;62;32;14;55
273520.003796279;59;62;33;14;56
275240.25539248204;60;62;34;14;57
276960.50698868505;61;62;35;14;58
278680.75858488807;62;62;36;14;59
280401.0101810911;63;62;37;14;60
282121.2617772941;64;62;38;14;61
283841.5133734971;65;62;39;14;62
285561.76496970013;66;62;40;14;63
287282.01656590315;67;62;41;14;64
289002.2681621061;68;62;42;14;65
290722.5197583091;69;62;43;14;66
292442.77135451214;70;62;44;14;67
294163.02295071515;71;62;45;14;68
295883.27454691817;72;62;46;14;69
297603.5261431212;73;62;47;14;70
299323.7777393242;74;62;48;14;71
301044.0293355272;75;62;49;14;72
302764.28093173023;76;62;50;14;73
304484.53252793325;77;62;51;14;74
306204.78412413626;78;62;52;14;75
307925.0357203393;79;62;53;14;76
309645.2873165423;80;62;54;14;77
311365.5389127453;81;62;55;14;78
313085.7905089483;82;62;56;14;79
314806.04210515134;83;62;57;14;80
316526.29370135436;84;62;58;14;81
318246.5452975574;85;62;59;14;82
319966.7968937604;86;62;60;14;83
321687.0484899634;87;62;61;14;84
323407.30008616636;88;62;62;14;85
325127.5516823694;89;62;63;14;86
326847.8032785724;90;62;64;14;87
328568.0548747754;91;62;65;14;88
330288.3064709784;92;62;66;14;89
332008.55806718144;93;62;67;14;90
333728.80966338445;94;62;68;14;91
335449.06125958747;95;62;69;14;92
337169.3128557905;96;62;70;14;93
338889.5644519935;97;62;71;14;94
340609.8160481965;98;62;72;14;95
342330.06764439953;99;62;73;14;96
344050.31924060255;100;62;74;14;97
