time_limit;default;radius;in_range;osm_id;random
0.0;184;184;184;184;184
168.2659267588744;184;184;184;184;184
336.5318535177488;183;183;183;183;183
504.7977802766232;180;179;179;179;180
673.0637070354976;178;177;177;177;178
841.3296337943721;169;168;168;168;169
1009.5955605532464;161;160;160;160;161
1177.8614873121207;155;150;150;150;155
1346.1274140709952;147;140;139;141;145
1514.3933408298697;141;132;132;134;138
1682.6592675887441;133;122;122;125;129
1850.9251943476183;120;110;111;114;116
2019.1911211064928;106;98;99;102;106
2187.4570478653673;101;89;93;96;96
2355.7229746242415;93;77;82;85;91
2523.988901383116;85;71;73;76;81
2692.2548281419904;82;67;68;71;76
2860.5207549008646;74;58;59;62;66
3028.7866816597393;69;52;54;57;59
3197.0526084186135;65;50;50;55;56
3365.3185351774882;63;46;42;53;55
3533.5844619363625;58;42;39;50;50
3701.8503886952367;55;40;38;48;46
3870.1163154541114;54;39;38;47;46
4038.3822422129856;49;37;36;43;40
4206.64816897186;47;33;32;40;38
4374.9140957307345;42;29;30;35;37
4543.180022489609;42;28;27;34;37
4711.445949248483;41;27;27;33;35
4879.711876007357;37;26;27;31;34
5047.977802766232;35;24;26;29;31
5216.243729525107;32;21;23;26;30
5384.509656283981;30;20;22;24;26
5552.775583042855;30;19;21;23;26
5721.041509801729;28;17;19;22;25
5889.307436560604;28;16;18;22;24
6057.573363319479;28;15;17;22;23
6225.839290078353;25;12;15;19;20
6394.105216837227;24;12;15;18;19
6562.371143596101;22;10;13;17;18
6730.6370703549765;19;10;12;14;14
6898.902997113851;19;10;12;14;14
7067.168923872725;18;9;11;13;14
7235.434850631599;15;7;8;11;12
7403.700777390473;15;7;8;11;12
7571.966704149348;15;7;8;11;12
7740.232630908223;15;6;8;11;12
7908.498557667097;15;6;8;11;12
8076.764484425971;15;6;8;11;12
8245.030411184845;14;4;6;10;11
8413.29633794372;14;4;6;10;11
8581.562264702594;13;4;6;10;11
8749.828191461469;13;4;6;10;11
8918.094118220342;11;4;6;9;10
9086.360044979217;10;4;6;9;10
9254.625971738093;10;4;6;9;10
9422.891898496966;9;3;5;8;9
9591.157825255841;9;3;5;8;9
9759.423752014714;9;3;5;8;8
9927.68967877359;9;3;5;8;8
10095.955605532465;9;3;5;7;7
10264.221532291338;9;3;5;7;7
10432.487459050213;9;3;5;7;6
10600.753385809086;9;3;4;6;6
10769.019312567962;9;3;4;6;6
10937.285239326837;9;3;4;6;6
11105.55116608571;9;3;4;6;6
11273.817092844585;9;3;4;6;6
11442.083019603459;8;3;4;6;5
11610.348946362334;8;3;4;6;5
11778.614873121209;7;3;4;6;4
11946.880799880082;7;3;4;6;4
12115.146726638957;7;3;4;6;4
12283.41265339783;6;3;4;5;4
12451.678580156706;6;3;4;5;4
12619.94450691558;5;3;4;5;4
12788.210433674454;5;3;4;5;4
12956.47636043333;5;3;4;5;4
13124.742287192203;5;3;4;5;4
13293.008213951078;5;3;4;5;4
13461.274140709953;5;3;4;5;4
13629.540067468826;5;3;4;5;4
13797.805994227701;5;3;4;5;4
13966.071920986575;5;3;4;5;4
14134.33784774545;5;3;4;5;4
14302.603774504323;5;3;4;5;4
14470.869701263198;5;3;4;5;4
14639.135628022073;5;3;4;5;4
14807.401554780947;5;3;3;5;4
14975.667481539822;5;3;3;5;4
15143.933408298695;4;3;3;5;4
15312.19933505757;4;3;3;5;4
15480.465261816445;3;3;3;4;4
15648.731188575319;3;3;3;4;4
15816.997115334194;3;3;3;4;4
15985.263042093067;3;3;3;4;4
16153.528968851942;3;3;3;4;4
16321.794895610818;2;2;2;3;3
16490.06082236969;2;2;2;3;3
16658.326749128566;2;2;2;3;3
16826.59267588744;2;2;2;3;3
